ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;VENDAS
1990;MAR;REGIÃO NORDESTE;PIAUÍ;ETANOL HIDRATADO;3480,472
1990;FEV;REGIÃO NORDESTE;PIAUÍ;ETANOL HIDRATADO;4840,848
1990;DEZ;REGIÃO NORDESTE;MARANHÃO;ETANOL HIDRATADO;7510,791
1990;JUL;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;8997,973
1990;NOV;REGIÃO NORDESTE;MARANHÃO;ETANOL HIDRATADO;8958,487
1990;OUT;REGIÃO NORDESTE;MARANHÃO;ETANOL HIDRATADO;8597,352
1990;SET;REGIÃO NORDESTE;MARANHÃO;ETANOL HIDRATADO;6808,786
1990;AGO;REGIÃO NORDESTE;MARANHÃO;ETANOL HIDRATADO;6672,012
1990;ABR;REGIÃO NORDESTE;PIAUÍ;ETANOL HIDRATADO;5645,497
1990;JAN;REGIÃO NORTE;ACRE;ETANOL HIDRATADO;860,685
1990;MAR;REGIÃO NORDESTE;CEARÁ;ETANOL HIDRATADO;13589,795
1990;OUT;REGIÃO SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;101714,524
1990;MAR;REGIÃO SUL;SANTA CATARINA;ETANOL HIDRATADO;30350,948
1990;FEV;REGIÃO SUL;SANTA CATARINA;ETANOL HIDRATADO;32451,235
1990;JAN;REGIÃO SUL;SANTA CATARINA;ETANOL HIDRATADO;40668,734
1990;DEZ;REGIÃO SUL;PARANÁ;ETANOL HIDRATADO;74592,466
1990;NOV;REGIÃO SUL;PARANÁ;ETANOL HIDRATADO;85590,254
1990;OUT;REGIÃO SUL;PARANÁ;ETANOL HIDRATADO;54559,656
1990;SET;REGIÃO SUL;PARANÁ;ETANOL HIDRATADO;61163,795
1990;AGO;REGIÃO SUL;PARANÁ;ETANOL HIDRATADO;53482,079
1990;OUT;REGIÃO SUDESTE;SÃO PAULO;ETANOL HIDRATADO;345948,52
1990;JUL;REGIÃO SUL;PARANÁ;ETANOL HIDRATADO;59451,985
1990;MAI;REGIÃO SUL;PARANÁ;ETANOL HIDRATADO;47786,353
1990;ABR;REGIÃO SUL;PARANÁ;ETANOL HIDRATADO;63192,281
1990;MAR;REGIÃO SUL;PARANÁ;ETANOL HIDRATADO;47795,615
1990;FEV;REGIÃO SUL;PARANÁ;ETANOL HIDRATADO;51422,461
1990;JAN;REGIÃO SUL;PARANÁ;ETANOL HIDRATADO;63680,65
1990;DEZ;REGIÃO SUDESTE;SÃO PAULO;ETANOL HIDRATADO;419651,95
1990;NOV;REGIÃO SUDESTE;SÃO PAULO;ETANOL HIDRATADO;485676,1
1990;DEZ;REGIÃO SUDESTE;ESPÍRITO SANTO;ETANOL HIDRATADO;15894,412
1990;JUN;REGIÃO SUL;PARANÁ;ETANOL HIDRATADO;57280,651
1990;FEV;REGIÃO NORDESTE;CEARÁ;ETANOL HIDRATADO;12880,395
1990;SET;REGIÃO SUDESTE;SÃO PAULO;ETANOL HIDRATADO;373833,715
1990;JUL;REGIÃO SUDESTE;SÃO PAULO;ETANOL HIDRATADO;358194,201
1990;JUN;REGIÃO SUDESTE;SÃO PAULO;ETANOL HIDRATADO;346518,239
1990;MAI;REGIÃO SUDESTE;SÃO PAULO;ETANOL HIDRATADO;334682,729
1990;ABR;REGIÃO SUDESTE;SÃO PAULO;ETANOL HIDRATADO;414427,199
1990;MAR;REGIÃO SUDESTE;SÃO PAULO;ETANOL HIDRATADO;323082,221
1990;FEV;REGIÃO SUDESTE;SÃO PAULO;ETANOL HIDRATADO;311288,326
1990;JAN;REGIÃO SUDESTE;SÃO PAULO;ETANOL HIDRATADO;428709,796
1990;DEZ;REGIÃO SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;118642,094
1990;NOV;REGIÃO SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;143879,157
1990;AGO;REGIÃO SUDESTE;SÃO PAULO;ETANOL HIDRATADO;337201,799
1990;SET;REGIÃO SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;107893,667
1990;AGO;REGIÃO SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;97402,084
1990;JUL;REGIÃO SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;102925,46
1990;JUN;REGIÃO SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;103160,956
1990;MAI;REGIÃO SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;77316,958
1990;ABR;REGIÃO SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;130204,792
1990;MAR;REGIÃO SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;98884,349
1990;FEV;REGIÃO SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;93689,561
1990;JAN;REGIÃO SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;124840,094
1990;NOV;REGIÃO SUDESTE;ESPÍRITO SANTO;ETANOL HIDRATADO;19296,257
1990;OUT;REGIÃO NORDESTE;PERNAMBUCO;ETANOL HIDRATADO;22138,275
1990;SET;REGIÃO NORDESTE;PERNAMBUCO;ETANOL HIDRATADO;31160,655
1990;DEZ;REGIÃO NORDESTE;PERNAMBUCO;ETANOL HIDRATADO;26473,367
1990;NOV;REGIÃO NORTE;AMAZONAS;ETANOL HIDRATADO;7657,094
1990;OUT;REGIÃO NORTE;AMAZONAS;ETANOL HIDRATADO;7637,051
1990;SET;REGIÃO NORTE;AMAZONAS;ETANOL HIDRATADO;5594,052
1990;AGO;REGIÃO NORTE;AMAZONAS;ETANOL HIDRATADO;5164,293
1990;JUL;REGIÃO NORTE;AMAZONAS;ETANOL HIDRATADO;5532,771
1990;JUN;REGIÃO NORTE;AMAZONAS;ETANOL HIDRATADO;5489,375
1990;DEZ;REGIÃO NORTE;AMAZONAS;ETANOL HIDRATADO;6072,715
1990;MAI;REGIÃO NORTE;AMAZONAS;ETANOL HIDRATADO;4971,815
1990;MAR;REGIÃO NORTE;AMAZONAS;ETANOL HIDRATADO;5540,531
1990;FEV;REGIÃO NORTE;AMAZONAS;ETANOL HIDRATADO;11208,3
1990;JAN;REGIÃO NORTE;AMAZONAS;ETANOL HIDRATADO;5395,501
1990;DEZ;REGIÃO NORTE;ACRE;ETANOL HIDRATADO;899,8
1990;DEZ;REGIÃO NORTE;TOCANTINS;ETANOL HIDRATADO;2794,228
1990;FEV;REGIÃO NORDESTE;MARANHÃO;ETANOL HIDRATADO;11475,757
1990;NOV;REGIÃO NORDESTE;PERNAMBUCO;ETANOL HIDRATADO;29691,541
1990;JAN;REGIÃO NORTE;RORAIMA;ETANOL HIDRATADO;719,876
1990;FEV;REGIÃO NORTE;RORAIMA;ETANOL HIDRATADO;494,664
1990;MAR;REGIÃO NORTE;RORAIMA;ETANOL HIDRATADO;589,563
1990;OUT;REGIÃO NORTE;RONDÔNIA;ETANOL HIDRATADO;6665,38
1990;MAI;REGIÃO NORTE;RORAIMA;ETANOL HIDRATADO;568,781
1990;SET;REGIÃO NORTE;RONDÔNIA;ETANOL HIDRATADO;4642,943
1990;AGO;REGIÃO NORTE;RONDÔNIA;ETANOL HIDRATADO;4331,283
1990;JUL;REGIÃO NORTE;RONDÔNIA;ETANOL HIDRATADO;5515,3
